"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0742170390690991,0.00898394927079939,0.00371182981197831,-0.00153522125478258,0.00954435613927235,-0.000760680273714882
"beta",0.00898394927079939,0.0649457407422195,0.0151835370305289,-0.00520282704715613,-0.0406701345135495,-0.00688589960933019
"gamma",0.00371182981197831,0.0151835370305289,0.0695697647366845,0.000805674850376666,0.039085631221101,0.0143242493158752
"delta",-0.00153522125478258,-0.00520282704715613,0.000805674850376666,0.03818969754534,-0.0143630596715739,-0.00477040756904377
"lambda",0.00954435613927235,-0.0406701345135495,0.039085631221101,-0.0143630596715739,0.932664959602741,-0.0407025055403767
"luce",-0.000760680273714882,-0.00688589960933019,0.0143242493158752,-0.00477040756904377,-0.0407025055403767,0.0682211805247155
"alpha",0.0605596513813936,0.00548787208547223,0.00462244351386158,0.000957385419792811,0.0228547733750569,0.000966385266181043
"beta",0.00548787208547223,0.0701542869620845,0.00268077733623157,-0.00294604007074845,-0.0974796185992983,-0.0132445855192867
"gamma",0.00462244351386158,0.00268077733623157,0.0466434147607675,0.00575088940747699,0.03531697818488,0.0131420693122562
"delta",0.000957385419792811,-0.00294604007074845,0.00575088940747699,0.0411500830024059,-0.0100456235214207,-0.000569763594330292
"lambda",0.0228547733750569,-0.0974796185992983,0.03531697818488,-0.0100456235214207,1.0796214355832,-0.0365892494614177
"luce",0.000966385266181043,-0.0132445855192867,0.0131420693122562,-0.000569763594330292,-0.0365892494614177,0.0660481734199391
"alpha",0.0680629224179988,0.00540860929414973,0.00601439532607081,0.000443771883307703,0.016361858385496,-0.0147209818725008
"beta",0.00540860929414973,0.0734001358451657,0.00513737917383132,-0.00940873898263187,-0.0806338187887899,-0.008358300747046
"gamma",0.00601439532607081,0.00513737917383132,0.0707487647791694,0.00258665438217565,0.0432850362207873,0.0077692044592103
"delta",0.000443771883307703,-0.00940873898263187,0.00258665438217565,0.0501435300974187,-0.0486977252101786,-0.0118121249094497
"lambda",0.016361858385496,-0.0806338187887899,0.0432850362207873,-0.0486977252101786,1.1442768197078,-0.0749558843659092
"luce",-0.0147209818725008,-0.008358300747046,0.0077692044592103,-0.0118121249094497,-0.0749558843659092,0.0689709093100391
"alpha",0.0515589334410547,0.000627010681649587,-0.000699810153606213,0.000968557135080253,-0.00132453762110852,-0.0210921610884522
"beta",0.000627010681649587,0.075272517257982,-0.00221392457164401,-0.0178351139958359,0.0169408970127841,0.00362059166908708
"gamma",-0.000699810153606213,-0.00221392457164401,0.0643324873079158,0.0122046412749721,0.00146886152337926,-0.000526839572361049
"delta",0.000968557135080253,-0.0178351139958359,0.0122046412749721,0.0437844822842189,-0.0844881145585337,-0.01966092420204
"lambda",-0.00132453762110852,0.0169408970127841,0.00146886152337926,-0.0844881145585337,1.30188129897482,0.0148484477801137
"luce",-0.0210921610884522,0.00362059166908708,-0.000526839572361049,-0.01966092420204,0.0148484477801137,0.0727689876745766
"alpha",0.0710389823622488,0.00830559071115218,0.00158684420555958,-0.0026460531339764,0.00940290219119401,-0.00344819217221399
"beta",0.00830559071115218,0.0671440840848183,0.0104698573569313,-0.00212136163608631,-0.0598241451684357,-0.00989148029316406
"gamma",0.00158684420555958,0.0104698573569313,0.0704619633321214,0.00442907660016507,0.0661926133384401,0.0100705812830186
