"","Chi-Square","d.f."
"alpha",278.362264414541,299
"beta",302.422359180319,299
"gamma",284.108806252617,299
"delta",289.661161303426,299
"lambda",294.540324578139,299
"luce",323.63245799382,299
"covariance matrix",1776.77397042073,1800
