"","beta","delta","lambdaluce"
"",0,0,0
"beta",0.0178603867224352,-0.00152075449296431,-0.116785600678996
"delta",-0.00152075449296431,0.00509900488201254,0.0143684790444406
"lambdaluce",-0.116785600678996,0.0143684790444406,1.37816369432094
"beta",0.043466613222578,-0.00704109587381234,-0.0846871080883678
"delta",-0.00704109587381234,0.0148428602125606,0.0141003096841461
"lambdaluce",-0.0846871080883678,0.0141003096841461,0.329012214147784
"beta",0.0135667492959334,-0.000935241283217998,-0.0739115990908446
"delta",-0.000935241283217998,0.00491356643202046,0.00944091402868771
"lambdaluce",-0.0739115990908446,0.00944091402868771,0.859590341190597
"beta",0.041375107531516,-0.00103322836795632,-0.0820593438065482
"delta",-0.00103322836795632,0.00631709525624277,0.0189220119334787
"lambdaluce",-0.0820593438065482,0.0189220119334787,0.336236720867055
"beta",0.0276254592529638,-0.0040498426395282,-0.107836299272881
"delta",-0.0040498426395282,0.00999197854844207,0.0254457770978898
"lambdaluce",-0.107836299272881,0.0254457770978898,1.00172522946264
"beta",0.0445473386337709,-0.00181329606643062,-0.0544944555791487
"delta",-0.00181329606643062,0.00815500527693316,0.00758280218831573
"lambdaluce",-0.0544944555791487,0.00758280218831573,0.139943599454979
"beta",0.0637911257402826,-0.00192173068108182,-0.0863963111676556
"delta",-0.00192173068108182,0.00701180156202403,0.0176728047331458
"lambdaluce",-0.0863963111676556,0.0176728047331458,0.229332900528718
"beta",0.0251315014276342,-0.000840821672814363,-0.0342563441922683
"delta",-0.000840821672814363,0.0173709223397607,0.00264711359262932
"lambdaluce",-0.0342563441922683,0.00264711359262932,0.174832785039969
"beta",0.0633932618206534,-0.000186413704934326,-0.112336171506756
"delta",-0.000186413704934326,0.00488150215803022,0.00599612048159772
"lambdaluce",-0.112336171506756,0.00599612048159772,0.322884852177483
"beta",0.0698086557761541,-0.000722928481681202,-0.11942454195193
"delta",-0.000722928481681202,0.00267951156750931,-0.00256735227009574
"lambdaluce",-0.11942454195193,-0.00256735227009574,1.67777228479489
"beta",0.0703253586425012,-0.00138476955132165,-0.159511615305922
"delta",-0.00138476955132165,0.00418227732615723,0.00323824527808496
"lambdaluce",-0.159511615305922,0.00323824527808496,0.851844486339986
"beta",0.0630711951357736,-0.000409790296270734,-0.149985024542568
"delta",-0.000409790296270734,0.00373613659484953,0.00240626903803332
"lambdaluce",-0.149985024542568,0.00240626903803332,0.691768197738193
"beta",0.024723505705558,-0.0010780824627218,-0.0652229806568892
"delta",-0.0010780824627218,0.00658018056287876,0.00516817416922088
"lambdaluce",-0.0652229806568892,0.00516817416922088,0.332341556003861
"beta",0.0458537761435565,-0.00361178523950416,-0.0798390058686351
"delta",-0.00361178523950416,0.00844089941805603,0.0125723214503708
"lambdaluce",-0.0798390058686351,0.0125723214503708,0.305694516733872
"beta",0.0252016087804966,-0.0033906176308429,-0.110399249744421
"delta",-0.0033906176308429,0.00908229045830526,0.0206284478312252
"lambdaluce",-0.110399249744421,0.0206284478312252,0.870937149249188
"beta",0.0448660163136746,-0.00323468356589442,-0.0795326492350055
"delta",-0.00323468356589442,0.00548391815597935,0.0173468703007092
"lambdaluce",-0.0795326492350055,0.0173468703007092,0.328930598954515
"beta",0.0188650089469386,-0.00450078055274435,-0.0933339873202395
"delta",-0.00450078055274435,0.00908503799498112,0.0205629951083125
"lambdaluce",-0.0933339873202395,0.0205629951083125,0.865519831083928
"beta",0.0504752283842057,-0.00361702207014007,-0.0878199200692493
"delta",-0.00361702207014007,0.0158413679396855,0.00595744317468523
"lambdaluce",-0.0878199200692493,0.00595744317468523,0.293046365777279
"beta",0.0374434892982985,-0.00569325552616367,-0.142703700036952
"delta",-0.00569325552616367,0.00297789459681458,0.0292931198394636
"lambdaluce",-0.142703700036952,0.0292931198394636,0.973771786662126
"beta",0.0650140394475349,-0.0010482874086846,-0.11916896644845
"delta",-0.0010482874086846,0.00425095731873861,0.00563682119969674
"lambdaluce",-0.11916896644845,0.00563682119969674,0.369866692135522
"beta",0.0149053690329022,-0.0027674090886144,-0.0846605284022068
"delta",-0.0027674090886144,0.00225878778418864,0.0235278613330278
"lambdaluce",-0.0846605284022068,0.0235278613330278,1.13704491679371
"beta",0.0449074141945996,-0.00412532346665922,-0.157841793072982
"delta",-0.00412532346665922,0.0018044995921194,0.0251395778979443
"lambdaluce",-0.157841793072982,0.0251395778979443,1.00818960638593
