"","lambdaluce","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"lambdaluceTemp",4.07479712589435,1.17395216866827,2.10788606899643,3.18792034251337,3.96869306971505,4.84388897367177,6.50779301738398
"lambdaluceTemp",1.87150086244619,0.573595863084615,0.979917778459572,1.43995225338461,1.79097182734113,2.22140937442853,3.15403551088711
"lambdaluceTemp",3.31683268738259,0.927140950012778,1.90508467832668,2.63796730681754,3.15605726975039,3.8344555109237,5.64031560556348
"lambdaluceTemp",2.02715303758308,0.579859225042644,0.983920302175457,1.59636377337116,2.00961486995891,2.41440470569024,3.20129393138763
"lambdaluceTemp",3.19728694284177,1.00086224299983,1.55492068383009,2.44204948629034,3.08821058238453,3.82308481075996,5.36564903028427
"lambdaluceTemp",1.26860711611294,0.374090362686583,0.693901665108834,0.996315814967463,1.21243260785343,1.49526522174736,2.1485994627633
"lambdaluceTemp",1.45255244081716,0.478887148009547,0.733535123488724,1.09535726747677,1.37728398230875,1.73377301664795,2.56728284220413
"lambdaluceTemp",1.38356967339829,0.418130105397792,0.691060291610142,1.07424489410128,1.34686546681746,1.63620717283676,2.3001196437761
"lambdaluceTemp",1.92460577690164,0.568229576999898,1.02476781231313,1.4921701556183,1.86925178779954,2.30746567732583,3.11157567753253
"lambdaluceTemp",4.07102561239387,1.29528849481299,1.85203010220252,3.0597663389177,3.97538579248388,5.01957196085101,6.65132222264728
"lambdaluceTemp",2.88776218254814,0.92295421681684,1.47873584079353,2.21673349886007,2.74065646791278,3.38270961470635,5.13809323839761
"lambdaluceTemp",2.70806996039719,0.831726035265335,1.35695543686385,2.09819491887605,2.62665761756826,3.21029146212986,4.61543939379235
"lambdaluceTemp",1.89370032446737,0.576490724993786,1.04750090694393,1.46294873339823,1.79432031967697,2.22393123381823,3.30522382675949
"lambdaluceTemp",1.84598671617117,0.55289647922,0.935318754814609,1.42658590355594,1.80580803009249,2.21576107518381,3.02650866486359
"lambdaluceTemp",2.72983331710629,0.933240134825538,1.36509862314634,2.04646929887728,2.56525251289212,3.25268686320293,4.97791536483689
"lambdaluceTemp",1.88081693853555,0.573524715208085,0.924470068044375,1.446694501583,1.83022052992065,2.2568600609306,3.12259645566568
"lambdaluceTemp",3.05490939604707,0.930333182835015,1.66129332119284,2.37666309139235,2.90167782496629,3.59253856694869,5.22041161808267
"lambdaluceTemp",1.68756825189224,0.541337571001015,0.851609637368858,1.28223988314429,1.61517705527309,2.02515808082057,2.89716702803072
"lambdaluceTemp",3.13459038214118,0.986798756921656,1.56613343789156,2.40225612918994,3.0010634125614,3.73412118856467,5.38735467954595
"lambdaluceTemp",2.08551724244257,0.608166664768403,1.12433184826983,1.63521283202477,2.01374815394199,2.47345063715805,3.41751450269897
"lambdaluceTemp",3.95046016057958,1.06632308274449,2.17248761674997,3.16855055538047,3.85228894251911,4.6368446703016,6.28020017257085
"lambdaluceTemp",3.54577756065383,1.00408645364128,1.92120361424403,2.77474498944468,3.41676800775957,4.18915533082009,5.81298775899588
"lambdaluceTemp",2.75047613427442,0.857033694684546,1.37162046550675,2.11658456333561,2.65727442488779,3.27242850683529,4.68373571302589
"lambdaluceTemp",4.23028425910746,1.23095844832337,2.13913324431979,3.30410874608104,4.13522490267211,5.10935174220877,6.73617334305848
"lambdaluceTemp",3.93568072879163,0.951572920140101,2.36395240104887,3.26534719827691,3.820853076255,4.50750841166162,6.0600142180814
